Date,^NSEI,^GSPC,^N225,^HSI,^FTSE,^GDAXI,^KS11,000001.SS
1977-08-22,,97.79000091552734,5220.259765625,,,,,
1977-08-23,,97.62000274658203,5165.0400390625,,,,,
1977-08-24,,97.2300033569336,5183.60009765625,,,,,
1977-08-25,,96.1500015258789,5150.240234375,,,,,
1977-08-26,,96.05999755859375,5180.35986328125,,,,,
1977-08-29,,96.91999816894531,5180.35986328125,,,,,
1977-08-30,,96.37999725341797,5234.18017578125,,,,,
1977-08-31,,96.7699966430664,5242.93017578125,,,,,
1977-09-01,,96.83000183105469,5148.68017578125,,,,,
1977-09-02,,97.44999694824219,5238.60009765625,,,,,
1977-09-05,,,5238.60009765625,,,,,
1977-09-06,,97.70999908447266,5287.64990234375,,,,,
1977-09-07,,98.01000213623047,5270.77001953125,,,,,
1977-09-08,,97.27999877929688,5280.31005859375,,,,,
1977-09-09,,96.37000274658203,5251.330078125,,,,,
1977-09-12,,96.02999877929688,5251.330078125,,,,,
1977-09-13,,96.08999633789062,5203.16015625,,,,,
1977-09-14,,96.55000305175781,5201.93017578125,,,,,
1977-09-15,,96.80000305175781,,,,,,
1977-09-16,,96.4800033569336,5206.169921875,,,,,
1977-09-19,,95.8499984741211,5206.169921875,,,,,
1977-09-20,,95.88999938964844,5177.7099609375,,,,,
1977-09-21,,95.0999984741211,5196.08984375,,,,,
1977-09-22,,95.08999633789062,5188.490234375,,,,,
1977-09-23,,95.04000091552734,,,,,,
1977-09-26,,95.37999725341797,5157.2998046875,,,,,
1977-09-27,,95.23999786376953,5159.77001953125,,,,,
1977-09-28,,95.30999755859375,5185.0,,,,,
1977-09-29,,95.8499984741211,5222.4501953125,,,,,
1977-09-30,,96.52999877929688,5264.740234375,,,,,
1977-10-03,,96.73999786376953,5264.740234375,,,,,
1977-10-04,,96.02999877929688,5262.259765625,,,,,
1977-10-05,,95.68000030517578,5223.08984375,,,,,
1977-10-06,,96.05000305175781,5246.490234375,,,,,
1977-10-07,,95.97000122070312,5237.43017578125,,,,,
1977-10-10,,95.75,,,,,,
1977-10-11,,94.93000030517578,5237.43017578125,,,,,
1977-10-12,,94.04000091552734,5138.06005859375,,,,,
1977-10-13,,93.45999908447266,5188.39013671875,,,,,
1977-10-14,,93.55999755859375,5152.85986328125,,,,,
1977-10-17,,93.47000122070312,5152.85986328125,,,,,
1977-10-18,,93.45999908447266,5108.27978515625,,,,,
1977-10-19,,92.37999725341797,5110.7998046875,,,,,
1977-10-20,,92.66999816894531,5142.580078125,,,,,
1977-10-21,,92.31999969482422,5150.0498046875,,,,,
1977-10-24,,91.62999725341797,5150.0498046875,,,,,
1977-10-25,,91.0,5134.14990234375,,,,,
1977-10-26,,92.0999984741211,5127.56005859375,,,,,
1977-10-27,,92.33999633789062,5121.5400390625,,,,,
1977-10-28,,92.61000061035156,5120.52001953125,,,,,
1977-10-31,,92.33999633789062,5120.52001953125,,,,,
1977-11-01,,91.3499984741211,5155.330078125,,,,,
1977-11-02,,90.70999908447266,5021.080078125,,,,,
1977-11-03,,90.76000213623047,,,,,,
1977-11-04,,91.58000183105469,5024.81982421875,,,,,
1977-11-07,,92.29000091552734,5024.81982421875,,,,,
1977-11-08,,92.45999908447266,5024.27978515625,,,,,
1977-11-09,,92.9800033569336,4976.43017578125,,,,,
1977-11-10,,94.70999908447266,4974.64990234375,,,,,
1977-11-11,,95.9800033569336,4941.2099609375,,,,,
1977-11-14,,95.31999969482422,4941.2099609375,,,,,
1977-11-15,,95.93000030517578,4996.35009765625,,,,,
1977-11-16,,95.44999694824219,4951.7900390625,,,,,
1977-11-17,,95.16000366210938,4903.5,,,,,
1977-11-18,,95.33000183105469,4836.52001953125,,,,,
1977-11-21,,95.25,4836.52001953125,,,,,
1977-11-22,,96.08999633789062,4829.22998046875,,,,,
1977-11-23,,96.48999786376953,,,,,,
1977-11-24,,,4723.740234375,,,,,
1977-11-25,,96.69000244140625,4597.259765625,,,,,
1977-11-28,,96.04000091552734,4597.259765625,,,,,
1977-11-29,,94.55000305175781,4822.5,,,,,
1977-11-30,,94.83000183105469,4849.56005859375,,,,,
1977-12-01,,94.69000244140625,4898.009765625,,,,,
1977-12-02,,94.66999816894531,4913.1201171875,,,,,
1977-12-05,,94.2699966430664,4913.1201171875,,,,,
1977-12-06,,92.83000183105469,4904.39990234375,,,,,
1977-12-07,,92.77999877929688,4886.68017578125,,,,,
1977-12-08,,92.95999908447266,4815.919921875,,,,,
1977-12-09,,93.6500015258789,4843.330078125,,,,,
1977-12-12,,93.62999725341797,4843.330078125,,,,,
1977-12-13,,93.55999755859375,4808.97021484375,,,,,
1977-12-14,,94.02999877929688,4778.52978515625,,,,,
1977-12-15,,93.55000305175781,4808.97021484375,,,,,
1977-12-16,,93.4000015258789,4797.0400390625,,,,,
1977-12-19,,92.69000244140625,4797.0400390625,,,,,
1977-12-20,,92.5,4910.5400390625,,,,,
1977-12-21,,93.05000305175781,4901.18994140625,,,,,
1977-12-22,,93.80000305175781,4896.56005859375,,,,,
1977-12-23,,94.69000244140625,,,,,,
1977-12-26,,,4878.93994140625,,,,,
1977-12-27,,94.69000244140625,4884.759765625,,,,,
1977-12-28,,94.75,4863.009765625,,,,,
1977-12-29,,94.94000244140625,4863.009765625,,,,,
1977-12-30,,95.0999984741211,4863.009765625,,,,,
1978-01-03,,93.81999969482422,,,,,,
1978-01-04,,93.5199966430664,4867.91015625,,,,,
1978-01-05,,92.73999786376953,4941.18017578125,,,,,
1978-01-06,,91.62000274658203,4974.64990234375,,,,,
1978-01-09,,90.63999938964844,4994.72998046875,,,,,
1978-01-10,,90.16999816894531,,,,,,
1978-01-11,,89.73999786376953,5007.22998046875,,,,,
1978-01-12,,89.81999969482422,4995.97998046875,,,,,
1978-01-13,,89.69000244140625,5030.97998046875,,,,,
1978-01-16,,89.43000030517578,,,,,,
1978-01-17,,89.87999725341797,5038.919921875,,,,,
1978-01-18,,90.55999755859375,5063.10986328125,,,,,
1978-01-19,,90.08999633789062,5066.14990234375,,,,,
1978-01-20,,89.88999938964844,5064.10009765625,,,,,
1978-01-23,,89.23999786376953,5046.240234375,,,,,
1978-01-24,,89.25,5025.89013671875,,,,,
1978-01-25,,89.38999938964844,5007.22998046875,,,,,
1978-01-26,,88.58000183105469,5021.509765625,,,,,
1978-01-27,,88.58000183105469,5028.41015625,,,,,
1978-01-30,,89.33999633789062,5077.5400390625,,,,,
1978-01-31,,89.25,5111.669921875,,,,,
1978-02-01,,89.93000030517578,5138.47021484375,,,,,
1978-02-02,,90.12999725341797,5135.33984375,,,,,
1978-02-03,,89.62000274658203,5129.0,,,,,
1978-02-06,,89.5,5133.02001953125,,,,,
1978-02-07,,90.33000183105469,5131.31982421875,,,,,
1978-02-08,,90.83000183105469,5144.6298828125,,,,,
1978-02-09,,90.30000305175781,5148.1201171875,,,,,
1978-02-10,,90.08000183105469,5144.5400390625,,,,,
1978-02-13,,89.86000061035156,5158.2998046875,,,,,
1978-02-14,,89.04000091552734,5136.22998046875,,,,,
1978-02-15,,88.83000183105469,5124.6201171875,,,,,
1978-02-16,,88.08000183105469,5131.9501953125,,,,,
1978-02-17,,87.95999908447266,5086.2998046875,,,,,
1978-02-20,,,5086.2998046875,,,,,
1978-02-21,,87.58999633789062,5061.81982421875,,,,,
1978-02-22,,87.55999755859375,5085.39990234375,,,,,
1978-02-23,,87.63999938964844,5104.25,,,,,
1978-02-24,,88.48999786376953,5121.7998046875,,,,,
1978-02-27,,87.72000122070312,5222.1201171875,,,,,
1978-02-28,,87.04000091552734,5222.66015625,,,,,
1978-03-01,,87.19000244140625,5210.580078125,,,,,
1978-03-02,,87.31999969482422,5213.89013671875,,,,,
1978-03-03,,87.44999694824219,5237.9599609375,,,,,
1978-03-06,,86.9000015258789,5197.8701171875,,,,,
1978-03-07,,87.36000061035156,5209.240234375,,,,,
1978-03-08,,87.83999633789062,5190.6201171875,,,,,
1978-03-09,,87.88999938964844,5177.47021484375,,,,,
1978-03-10,,88.87999725341797,5211.740234375,,,,,
1978-03-13,,88.94999694824219,5275.5498046875,,,,,
1978-03-14,,89.3499984741211,5269.2001953125,,,,,
1978-03-15,,89.12000274658203,5278.9501953125,,,,,
1978-03-16,,89.51000213623047,5297.66015625,,,,,
1978-03-17,,90.19999694824219,5290.669921875,,,,,
1978-03-20,,90.81999969482422,5269.72998046875,,,,,
1978-03-21,,89.79000091552734,,,,,,
1978-03-22,,89.47000122070312,5273.669921875,,,,,
1978-03-23,,89.36000061035156,5266.77978515625,,,,,
1978-03-24,,,5262.47998046875,,,,,
1978-03-27,,88.87000274658203,5317.080078125,,,,,
1978-03-28,,89.5,5360.33984375,,,,,
1978-03-29,,89.63999938964844,5400.77001953125,,,,,
1978-03-30,,89.41000366210938,5411.27978515625,,,,,
1978-03-31,,89.20999908447266,5447.759765625,,,,,
1978-04-03,,88.45999908447266,5430.330078125,,,,,
1978-04-04,,88.86000061035156,5479.740234375,,,,,
1978-04-05,,89.63999938964844,5527.89990234375,,,,,
1978-04-06,,89.79000091552734,5498.25,,,,,
1978-04-07,,90.16999816894531,5485.22021484375,,,,,
1978-04-10,,90.48999786376953,5464.830078125,,,,,
1978-04-11,,90.25,5449.81982421875,,,,,
1978-04-12,,90.11000061035156,5464.64990234375,,,,,
1978-04-13,,90.9800033569336,5466.18017578125,,,,,
1978-04-14,,92.91999816894531,5503.5498046875,,,,,
1978-04-17,,94.44999694824219,5544.60986328125,,,,,
1978-04-18,,93.43000030517578,5534.72021484375,,,,,
1978-04-19,,93.86000061035156,5555.83984375,,,,,
1978-04-20,,94.54000091552734,5548.56005859375,,,,,
1978-04-21,,94.33999633789062,5502.2900390625,,,,,
1978-04-24,,95.7699966430664,5514.77978515625,,,,,
1978-04-25,,96.63999938964844,5521.7001953125,,,,,
1978-04-26,,96.81999969482422,5540.56005859375,,,,,
1978-04-27,,95.86000061035156,5516.33984375,,,,,
1978-04-28,,96.83000183105469,5534.18017578125,,,,,
1978-05-01,,97.66999816894531,5532.93017578125,,,,,
1978-05-02,,97.25,5541.10009765625,,,,,
1978-05-03,,96.26000213623047,,,,,,
1978-05-04,,95.93000030517578,,,,,,
1978-05-05,,96.52999877929688,,,,,,
1978-05-08,,96.19000244140625,5526.64013671875,,,,,
1978-05-09,,95.9000015258789,5490.25,,,,,
1978-05-10,,95.91999816894531,5486.1201171875,,,,,
1978-05-11,,97.19999694824219,5489.259765625,,,,,
1978-05-12,,98.06999969482422,5497.97998046875,,,,,
1978-05-15,,98.76000213623047,5499.509765625,,,,,
1978-05-16,,99.3499984741211,5418.830078125,,,,,
1978-05-17,,99.5999984741211,5440.1201171875,,,,,
1978-05-18,,98.62000274658203,5406.8798828125,,,,,
1978-05-19,,98.12000274658203,5404.18994140625,,,,,
1978-05-22,,99.08999633789062,5408.22998046875,,,,,
1978-05-23,,98.05000305175781,5417.47998046875,,,,,
1978-05-24,,97.08000183105469,5455.31005859375,,,,,
1978-05-25,,96.80000305175781,5455.93017578125,,,,,
1978-05-26,,96.58000183105469,5439.39990234375,,,,,
1978-05-29,,,5439.93994140625,,,,,
1978-05-30,,96.86000061035156,5438.509765625,,,,,
1978-05-31,,97.23999786376953,5469.77001953125,,,,,
1978-06-01,,97.3499984741211,5476.240234375,,,,,
1978-06-02,,98.13999938964844,5480.5498046875,,,,,
1978-06-05,,99.94999694824219,5495.27978515625,,,,,
1978-06-06,,100.31999969482422,5489.7998046875,,,,,
1978-06-07,,100.12000274658203,5490.43017578125,,,,,
1978-06-08,,100.20999908447266,5504.72021484375,,,,,
1978-06-09,,99.93000030517578,5500.669921875,,,,,
1978-06-12,,99.55000305175781,5511.990234375,,,,,
1978-06-13,,99.56999969482422,5493.669921875,,,,,
1978-06-14,,99.4800033569336,5502.10986328125,,,,,
1978-06-15,,98.33999633789062,5495.91015625,,,,,
1978-06-16,,97.41999816894531,5491.509765625,,,,,
1978-06-19,,97.48999786376953,5477.31982421875,,,,,
1978-06-20,,96.51000213623047,5474.7998046875,,,,,
1978-06-21,,96.01000213623047,5478.83984375,,,,,
1978-06-22,,96.23999786376953,5483.8701171875,,,,,
1978-06-23,,95.8499984741211,5481.35986328125,,,,,
1978-06-26,,94.5999984741211,5481.27001953125,,,,,
1978-06-27,,94.9800033569336,5472.10009765625,,,,,
1978-06-28,,95.4000015258789,5501.0400390625,,,,,
1978-06-29,,95.56999969482422,5533.31005859375,,,,,
1978-06-30,,95.52999877929688,5543.14013671875,,,,,
1978-07-03,,95.08999633789062,5562.97021484375,,,,,
1978-07-04,,,5562.009765625,,,,,
1978-07-05,,94.2699966430664,5576.33984375,,,,,
1978-07-06,,94.31999969482422,5588.1298828125,,,,,
1978-07-07,,94.88999938964844,5616.89013671875,,,,,
