Datetime,Nifty 50 (IN),S&P 500 (US),Nikkei 225 (JP),Hang Seng (HK),FTSE 100 (UK),DAX (DE),KOSPI (KR),Shanghai (CN)
2026-03-30 01:30:00+00:00,,,,24624.599609375,,,,
2026-03-30 01:45:00+00:00,,,,24532.119140625,,,,
2026-03-30 02:00:00+00:00,,,,24531.240234375,,,,
2026-03-30 02:15:00+00:00,,,,24456.8203125,,,,
2026-03-30 02:30:00+00:00,,,,24508.419921875,,,,
2026-03-30 02:45:00+00:00,,,,24560.509765625,,,,
2026-03-30 03:00:00+00:00,,,,24644.91015625,,,,
2026-03-30 03:15:00+00:00,,,,24698.8203125,,,,
2026-03-30 03:30:00+00:00,,,,24720.69921875,,,,
2026-03-30 03:45:00+00:00,,,,24711.4609375,,,,
2026-03-30 04:00:00+00:00,,,,24727.83984375,,,,
2026-03-30 05:00:00+00:00,,,,24683.8203125,,,,
2026-03-30 05:15:00+00:00,,,,24705.919921875,,,,
2026-03-30 05:30:00+00:00,,,,24641.51953125,,,,
2026-03-30 05:45:00+00:00,,,,24672.150390625,,,,
2026-03-30 06:00:00+00:00,,,,24675.1796875,,,,
2026-03-30 06:15:00+00:00,,,,24730.130859375,,,,
2026-03-30 06:30:00+00:00,,,,24802.41015625,,,,
2026-03-30 06:45:00+00:00,,,,24765.05078125,,,,
2026-03-30 07:00:00+00:00,,,,24710.390625,,,,
2026-03-30 07:15:00+00:00,,,,24684.08984375,,,,
2026-03-30 07:30:00+00:00,,,,24693.939453125,,,,
2026-03-30 07:45:00+00:00,,,,24733.0390625,,,,
2026-03-30 08:00:00+00:00,,,,24750.7890625,,,,
2026-03-31 01:30:00+00:00,,,,24929.330078125,,,,3945.186767578125
2026-03-31 01:45:00+00:00,,,,24812.240234375,,,,3941.667236328125
2026-03-31 02:00:00+00:00,,,,24850.580078125,,,,3944.39453125
2026-03-31 02:15:00+00:00,,,,24824.140625,,,,3940.6298828125
2026-03-31 02:30:00+00:00,,,,24714.75,,,,3930.53955078125
2026-03-31 02:45:00+00:00,,,,24687.9609375,,,,3924.347412109375
2026-03-31 03:00:00+00:00,,,,24680.599609375,,,,3915.43798828125
2026-03-31 03:15:00+00:00,,,,24652.0703125,,,,3906.685791015625
2026-03-31 03:30:00+00:00,,,,24641.2109375,,,,3908.281982421875
2026-03-31 03:45:00+00:00,,,,24624.1796875,,,,3908.281982421875
2026-03-31 04:00:00+00:00,,,,24624.55078125,,,,3908.281982421875
2026-03-31 05:00:00+00:00,,,,24580.970703125,,,,3908.54638671875
2026-03-31 05:15:00+00:00,,,,24644.26953125,,,,3919.47900390625
2026-03-31 05:30:00+00:00,,,,24654.720703125,,,,3917.282470703125
2026-03-31 05:45:00+00:00,,,,24703.330078125,,,,3920.656982421875
2026-03-31 06:00:00+00:00,,,,24653.509765625,,,,3907.15478515625
2026-03-31 06:15:00+00:00,,,,24662.349609375,,,,3900.357421875
2026-03-31 06:30:00+00:00,,,,24651.25,,,,3896.565185546875
2026-03-31 06:45:00+00:00,,,,24698.830078125,,,,3895.5986328125
2026-03-31 07:00:00+00:00,,,,24676.3203125,,,,3895.5986328125
2026-03-31 07:15:00+00:00,,,,24727.130859375,,,,3895.5986328125
2026-03-31 07:30:00+00:00,,,,24746.509765625,,,,3895.5986328125
2026-03-31 07:45:00+00:00,,,,24769.080078125,,,,3895.5986328125
2026-03-31 08:00:00+00:00,,,,24788.140625,,,,3895.5986328125
2026-04-01 00:00:00+00:00,,,52897.25,24788.140625,,,5298.31005859375,3895.5986328125
2026-04-01 00:15:00+00:00,,,52801.51953125,24788.140625,,,5310.6298828125,3895.5986328125
2026-04-01 00:30:00+00:00,,,52886.8984375,24788.140625,,,5329.97998046875,3895.5986328125
2026-04-01 00:45:00+00:00,,,53033.73828125,24788.140625,,,5326.759765625,3895.5986328125
2026-04-01 01:00:00+00:00,,,52957.609375,24788.140625,,,5324.7998046875,3895.5986328125
2026-04-01 01:15:00+00:00,,,53044.6484375,24788.140625,,,5369.81005859375,3895.5986328125
2026-04-01 01:30:00+00:00,,,53003.6015625,25294.140625,,,5367.240234375,3938.090576171875
2026-04-01 01:45:00+00:00,,,53134.671875,25248.16015625,,,5369.77001953125,3931.71240234375
2026-04-01 02:00:00+00:00,,,53164.1796875,25286.2890625,,,5373.830078125,3944.41455078125
2026-04-01 02:15:00+00:00,,,53124.0,25254.189453125,,,5380.91015625,3940.9658203125
2026-04-01 02:30:00+00:00,,,53128.328125,25232.810546875,,,5390.89013671875,3948.917236328125
2026-04-01 02:45:00+00:00,,,53128.328125,25307.73046875,,,5385.5,3951.6025390625
2026-04-01 03:00:00+00:00,,,53128.328125,25336.2890625,,,5392.72998046875,3948.031494140625
2026-04-01 03:15:00+00:00,,,53128.328125,25327.7890625,,,5407.10009765625,3945.363037109375
2026-04-01 03:30:00+00:00,,,53300.390625,25301.80078125,,,5410.919921875,3944.7998046875
2026-04-01 03:45:00+00:00,,,53324.6015625,25277.390625,,,5403.22998046875,3944.7998046875
2026-04-01 04:00:00+00:00,,,53388.921875,25276.650390625,,,5417.22998046875,3944.7998046875
2026-04-01 04:15:00+00:00,,,53390.7109375,25276.650390625,,,5436.60009765625,3944.7998046875
2026-04-01 04:30:00+00:00,,,53401.3203125,25276.650390625,,,5450.22021484375,3944.7998046875
