Datetime,Nifty 50 (IN),S&P 500 (US),Nikkei 225 (JP),Hang Seng (HK),FTSE 100 (UK),DAX (DE),KOSPI (KR),Shanghai (CN)
2026-04-01 02:40:00+00:00,,,,25232.810546875,,,,3948.917236328125
2026-04-01 02:45:00+00:00,,,,25281.5390625,,,,3947.271240234375
2026-04-01 02:50:00+00:00,,,,25329.220703125,,,,3951.657958984375
2026-04-01 02:55:00+00:00,,,,25307.73046875,,,,3951.6025390625
2026-04-01 03:00:00+00:00,,,,25289.6796875,,,,3949.7578125
2026-04-01 03:05:00+00:00,,,,25319.83984375,,,,3948.330078125
2026-04-01 03:10:00+00:00,,,,25336.2890625,,,,3948.031494140625
2026-04-01 03:15:00+00:00,,,,25330.73046875,,,,3950.689697265625
2026-04-01 03:20:00+00:00,,,,25314.099609375,,,,3946.47119140625
2026-04-01 03:25:00+00:00,,,,25327.7890625,,,,3945.363037109375
2026-04-01 03:30:00+00:00,,,,25320.2890625,,,,3944.7998046875
2026-04-01 03:35:00+00:00,,,,25304.41015625,,,,3944.7998046875
2026-04-01 03:40:00+00:00,,,,25301.80078125,,,,3944.7998046875
2026-04-01 03:45:00+00:00,,,,25290.310546875,,,,3944.7998046875
2026-04-01 03:50:00+00:00,,,,25277.759765625,,,,3944.7998046875
2026-04-01 03:55:00+00:00,,,,25277.390625,,,,3944.7998046875
2026-04-01 04:00:00+00:00,,,,25277.740234375,,,,3944.7998046875
2026-04-01 04:05:00+00:00,,,,25276.650390625,,,,3944.7998046875
2026-04-01 05:00:00+00:00,,,,25262.2109375,,,,3946.31201171875
2026-04-01 05:05:00+00:00,,,,25271.41015625,,,,3947.640380859375
2026-04-01 05:10:00+00:00,,,,25309.619140625,,,,3950.39599609375
2026-04-01 05:15:00+00:00,,,,25341.94921875,,,,3949.07080078125
2026-04-01 05:20:00+00:00,,,,25344.330078125,,,,3947.592529296875
2026-04-01 05:25:00+00:00,,,,25361.109375,,,,3952.41943359375
2026-04-01 05:30:00+00:00,,,,25345.69921875,,,,3952.79931640625
2026-04-01 05:35:00+00:00,,,,25336.369140625,,,,3948.515380859375
2026-04-01 05:40:00+00:00,,,,25336.169921875,,,,3947.11328125
2026-04-01 05:45:00+00:00,,,,25320.0,,,,3945.112548828125
2026-04-01 05:50:00+00:00,,,,25321.1796875,,,,3942.7705078125
2026-04-01 05:55:00+00:00,,,,25264.630859375,,,,3936.64501953125
2026-04-01 06:00:00+00:00,,,,25301.890625,,,,3940.683349609375
2026-04-01 06:05:00+00:00,,,,25312.08984375,,,,3939.797119140625
2026-04-01 06:10:00+00:00,,,,25321.669921875,,,,3941.936279296875
2026-04-01 06:15:00+00:00,,,,25349.130859375,,,,3943.17138671875
2026-04-01 06:20:00+00:00,,,,25371.5390625,,,,3944.425048828125
2026-04-01 06:25:00+00:00,,,,25412.939453125,,,,3945.4462890625
2026-04-01 06:30:00+00:00,,,,25390.849609375,,,,3943.990478515625
2026-04-01 06:35:00+00:00,,,,25373.98046875,,,,3942.419677734375
2026-04-01 06:40:00+00:00,,,,25371.83984375,,,,3944.190673828125
2026-04-01 06:45:00+00:00,,,,25380.400390625,,,,3946.946044921875
2026-04-01 06:50:00+00:00,,,,25367.16015625,,,,3948.244873046875
2026-04-01 06:55:00+00:00,,,,25361.58984375,,,,3949.21875
2026-04-01 07:00:00+00:00,,,,25358.529296875,,,,3949.21875
2026-04-01 07:05:00+00:00,,,,25344.05078125,,,,3949.21875
2026-04-01 07:10:00+00:00,,,,25332.150390625,,,,3949.21875
2026-04-01 07:15:00+00:00,,,,25360.630859375,,,,3949.21875
2026-04-01 07:20:00+00:00,,,,25356.5703125,,,,3949.21875
2026-04-01 07:25:00+00:00,,,,25358.859375,,,,3949.21875
2026-04-01 07:30:00+00:00,,,,25339.009765625,,,,3949.21875
2026-04-01 07:35:00+00:00,,,,25352.939453125,,,,3949.21875
2026-04-01 07:40:00+00:00,,,,25342.33984375,,,,3949.21875
2026-04-01 07:45:00+00:00,,,,25274.98046875,,,,3949.21875
2026-04-01 07:50:00+00:00,,,,25248.73046875,,,,3949.21875
2026-04-01 07:55:00+00:00,,,,25266.73046875,,,,3949.21875
2026-04-01 08:00:00+00:00,,,,25260.759765625,,,,3949.21875
2026-04-01 08:05:00+00:00,,,,25294.029296875,,,,3949.21875
2026-04-02 00:00:00+00:00,,,54205.859375,25294.029296875,,,5543.0,3949.21875
2026-04-02 00:05:00+00:00,,,54218.69140625,25294.029296875,,,5523.93017578125,3949.21875
2026-04-02 00:10:00+00:00,,,53994.2890625,25294.029296875,,,5518.47021484375,3949.21875
2026-04-02 00:15:00+00:00,,,54123.1484375,25294.029296875,,,5543.66015625,3949.21875
2026-04-02 00:20:00+00:00,,,54144.890625,25294.029296875,,,5533.3701171875,3949.21875
2026-04-02 00:25:00+00:00,,,53996.53125,25294.029296875,,,5529.8701171875,3949.21875
2026-04-02 00:30:00+00:00,,,53997.359375,25294.029296875,,,5518.490234375,3949.21875
2026-04-02 00:35:00+00:00,,,53977.73828125,25294.029296875,,,5504.10986328125,3949.21875
2026-04-02 00:40:00+00:00,,,54203.23046875,25294.029296875,,,5529.35986328125,3949.21875
2026-04-02 00:45:00+00:00,,,54152.58984375,25294.029296875,,,5535.31982421875,3949.21875
2026-04-02 00:50:00+00:00,,,54097.1796875,25294.029296875,,,5537.2900390625,3949.21875
2026-04-02 00:55:00+00:00,,,54170.828125,25294.029296875,,,5558.080078125,3949.21875
2026-04-02 01:00:00+00:00,,,53909.98046875,25294.029296875,,,5502.18017578125,3949.21875
2026-04-02 01:05:00+00:00,,,53925.140625,25294.029296875,,,5517.7900390625,3949.21875
2026-04-02 01:10:00+00:00,,,53901.62109375,25294.029296875,,,5514.0,3949.21875
2026-04-02 01:15:00+00:00,,,53342.8203125,25294.029296875,,,5416.77001953125,3949.21875
2026-04-02 01:20:00+00:00,,,53364.828125,25294.029296875,,,5383.91015625,3949.21875
2026-04-02 01:25:00+00:00,,,53332.3984375,25294.029296875,,,5384.64013671875,3949.21875
