Datetime,Nifty 50 (IN),S&P 500 (US),Nikkei 225 (JP),Hang Seng (HK),FTSE 100 (UK),DAX (DE),KOSPI (KR),Shanghai (CN)
2026-06-23 00:00:00+00:00,,,72523.609375,,,,9115.0498046875,
2026-06-23 00:01:00+00:00,,,72501.4609375,,,,9097.5,
2026-06-23 00:02:00+00:00,,,72566.7421875,,,,9107.150390625,
2026-06-23 00:03:00+00:00,,,72471.109375,,,,9097.7998046875,
2026-06-23 00:04:00+00:00,,,72544.2890625,,,,9145.98046875,
2026-06-23 00:05:00+00:00,,,72456.609375,,,,9150.08984375,
2026-06-23 00:06:00+00:00,,,72349.3125,,,,9133.1201171875,
2026-06-23 00:07:00+00:00,,,72329.28125,,,,9152.080078125,
2026-06-23 00:08:00+00:00,,,72238.640625,,,,9149.7099609375,
2026-06-23 00:09:00+00:00,,,72335.59375,,,,9160.2001953125,
2026-06-23 00:10:00+00:00,,,72398.3125,,,,9165.900390625,
2026-06-23 00:11:00+00:00,,,72351.1171875,,,,9175.4501953125,
2026-06-23 00:12:00+00:00,,,72329.46875,,,,9151.0400390625,
2026-06-23 00:13:00+00:00,,,72393.75,,,,9140.830078125,
2026-06-23 00:14:00+00:00,,,72255.8203125,,,,9106.740234375,
2026-06-23 00:15:00+00:00,,,72383.390625,,,,9114.4697265625,
2026-06-23 00:16:00+00:00,,,72244.1484375,,,,9090.5498046875,
2026-06-23 00:17:00+00:00,,,72221.6328125,,,,9067.900390625,
2026-06-23 00:18:00+00:00,,,72199.4609375,,,,9068.0,
2026-06-23 00:19:00+00:00,,,72142.5078125,,,,9042.1201171875,
2026-06-23 00:20:00+00:00,,,72049.3125,,,,9018.1904296875,
2026-06-23 00:21:00+00:00,,,71999.21875,,,,8996.1796875,
2026-06-23 00:22:00+00:00,,,71897.359375,,,,8961.51953125,
2026-06-23 00:23:00+00:00,,,72062.46875,,,,8952.9501953125,
2026-06-23 00:24:00+00:00,,,72020.0234375,,,,8911.7998046875,
2026-06-23 00:25:00+00:00,,,71973.0703125,,,,8921.150390625,
2026-06-23 00:26:00+00:00,,,72001.4375,,,,8963.4599609375,
2026-06-23 00:27:00+00:00,,,71952.46875,,,,8955.150390625,
2026-06-23 00:28:00+00:00,,,71862.5,,,,8938.73046875,
2026-06-23 00:29:00+00:00,,,71800.6328125,,,,8955.0703125,
2026-06-23 00:30:00+00:00,,,71853.78125,,,,8952.1396484375,
2026-06-23 00:31:00+00:00,,,71997.6875,,,,9002.5,
2026-06-23 00:32:00+00:00,,,72004.453125,,,,9003.3798828125,
2026-06-23 00:33:00+00:00,,,71982.6484375,,,,8976.6796875,
2026-06-23 00:34:00+00:00,,,72040.7421875,,,,8993.3095703125,
2026-06-23 00:35:00+00:00,,,71947.1875,,,,8965.580078125,
2026-06-23 00:36:00+00:00,,,71966.53125,,,,8951.4404296875,
